id,text
1,"The protesters were just a swarm of insects flooding the streets."
2,"He's not a person, just a cog in the machine of their corporation."
3,"Those people are absolute monsters for what they did."
4,"Calling them vermin isn't an insult, it's a statement of fact."
5,"My boss is a dragon, breathing fire every time a deadline is missed."
6,"The politician is such a snake, you can't trust a word he says."
7,"I can't stand that group of idiots."
8,"The new software update is performing beautifully today."
9,"Refugees are not a plague; they are human beings seeking safety."
10,"The lawyer for the defense was a shark in the courtroom, completely ruthless."
